Date,CPI,Exchange_Rate_USD,GDP,Unemployment_Rate,TSX
2018-09-01,133.7,1.3037,1948264,5.4,16073.14
2018-10-01,134.1,1.301,1951927,5.3,15027.28
2018-11-01,133.5,1.32,1947407,5.2,15197.82
2018-12-01,133.4,1.3432,1947565,5.2,14322.86
2019-01-01,133.6,1.3301,1950566,6.2,15540.60
2019-02-01,134.5,1.3206,1947014,6.1,15999.01
2019-03-01,135.4,1.3368,1959450,6.2,16102.09
2019-04-01,136,1.3378,1965660,5.9,16580.73
2019-05-01,136.6,1.3459,1971646,5.5,16037.49
2019-06-01,136.3,1.3287,1975775,5.2,16382.20
2019-07-01,137,1.3101,1976884,5.9,16406.56
2019-08-01,136.8,1.3277,1977897,6.3,16442.07
2019-09-01,136.2,1.3241,1980265,5,16658.63
2019-10-01,136.6,1.319,1979800,5,16483.16
2019-11-01,136.4,1.3239,1980713,5.5,17040.20
2019-12-01,136.4,1.3172,1987226,5.1,17063.43
2020-01-01,136.8,1.3087,1989437,5.8,17318.49
2020-02-01,137.4,1.3286,1994280,5.9,16263.05
2020-03-01,136.6,1.3953,1847527,8.4,13378.75
2020-04-01,135.7,1.4058,1633091,13.5,14780.74
2020-05-01,136.1,1.397,1711743,13.8,15192.83
2020-06-01,137.2,1.355,1823698,11.9,15515.22
2020-07-01,137.2,1.3499,1878759,11.2,16169.20
2020-08-01,137,1.3222,,11,16514.44
2020-09-01,136.9,1.3228,,8.4,
